Datetime,Open,High,Low,Close,Volume
2018-01-29 12:00:00,11578.74,11715.81,11567.51,11681.6,2945874.75
2018-01-29 13:00:00,11681.6,11689.99,11570.1,11599.16,2496114.61
2018-01-29 14:00:00,11599.16,11599.17,11307,11428.47,4224736.21
2018-01-29 15:00:00,11428.47,11430.25,11315.01,11342.12,2846410.55
2018-01-29 16:00:00,11342.12,11474,11230,11412.02,2938478.2
2018-01-29 17:00:00,11412.02,11444,11333.33,11392.88,1800413.56
2018-01-29 18:00:00,11392.88,11490,11362.75,11389.92,2066627.37
2018-01-29 19:00:00,11389.92,11403,11132,11244.62,3440199.19
2018-01-29 20:00:00,11244.62,11267.86,11200.01,11243.59,2376182.32
2018-01-29 21:00:00,11243.59,11330,11200,11324.95,2529980.98
2018-01-29 22:00:00,11324.95,11404.99,11298.19,11333.45,2933334.85
2018-01-29 23:00:00,11333.45,11388.89,11220.06,11368.21,2829374.49
2018-01-30 00:00:00,11368.21,11399,11301.05,11371.15,2077664.57
2018-01-30 01:00:00,11371.15,11450.38,11325.41,11390,1677322.81
2018-01-30 02:00:00,11390,11402.05,11260,11363.39,1341114.28
2018-01-30 03:00:00,11363.39,11363.39,11219.2,11273.19,867940.51
2018-01-30 04:00:00,11273.19,11319.88,11219.2,11256.4,612315.46
2018-01-30 05:00:00,11256.4,11339.9,11256.17,11315,577684.4
2018-01-30 06:00:00,11315,11331.95,11115.15,11132.87,1496598.37
2018-01-30 07:00:00,11132.87,11323.3,11132.87,11254.52,1537759.17
2018-01-30 08:00:00,11254.52,11269.92,11189.95,11189.95,1623353.13
2018-01-30 09:00:00,11189.95,11200,10902,10934.85,4069916.92
2018-01-30 10:00:00,10934.85,11113.6,10922.68,11001.11,2801355.32
2018-01-30 11:00:00,11001.11,11050,10880,11000.51,2756871.69
2018-01-30 12:00:00,11000.51,11120.57,11000.46,11021.05,2035970.69
2018-01-30 13:00:00,11021.05,11120,11000,11078,1627917.94
2018-01-30 14:00:00,11078,11099,11015,11035.37,1721870.15
2018-01-30 15:00:00,11035.37,11118.18,10950,11083.05,2007518.58
2018-01-30 16:00:00,11083.05,11193.77,11076.56,11136.01,1977414.64
2018-01-30 17:00:00,11136.01,11159.74,10933,10962,2757587.05
2018-01-30 18:00:00,10962,11009.99,10901,11000,2152627.99
2018-01-30 19:00:00,11000,11049.91,10908,11039.39,2657225.24
2018-01-30 20:00:00,11039.39,11080,10957,10983.21,2177271.33
2018-01-30 21:00:00,10983.21,10999.99,10549.03,10590,3202062.94
2018-01-30 22:00:00,10590,10684.41,10515.47,10570,5355414.69
2018-01-30 23:00:00,10570,10612.01,10265.05,10383.51,4416691.2
2018-01-31 00:00:00,10383.51,10550,10383.51,10436.56,3175325.36
2018-01-31 01:00:00,10436.56,10547.96,10280,10280,2456629.89
2018-01-31 02:00:00,10280,10282.95,9910,10068.63,3682093.96
2018-01-31 03:00:00,10068.63,10437.26,9921.2,10366.3,3069816.45
2018-01-31 04:00:00,10366.3,10388.41,10174.87,10174.87,2123604.57
2018-01-31 05:00:00,10174.87,10357.99,10117.93,10290.11,2267915.39
2018-01-31 06:00:00,10290.11,10534.98,10280.5,10351.3,2492316.23
2018-01-31 07:00:00,10351.3,10351.3,10066.38,10190.04,2421367.54
2018-01-31 08:00:00,10190.04,10209.02,9800.01,9819.6,3884548.04
2018-01-31 09:00:00,9819.6,10033.63,9700,9950.15,5371741.68
2018-01-31 10:00:00,9950.15,10319,9950.15,10254.11,5142042.21
2018-01-31 11:00:00,10254.11,10254.11,10028.96,10099.47,3598109.74
2018-01-31 12:00:00,10099.47,10100,9929.8,10014.83,3553952.47
2018-01-31 13:00:00,10014.83,10130.48,9850.82,10077.92,4180959.85
2018-01-31 14:00:00,10077.92,10300,10057.55,10227.59,4412997.49
2018-01-31 15:00:00,10227.59,10350,10200,10290.89,4160879.03
2018-01-31 16:00:00,10290.89,10350,10213.48,10281.31,4007565.45
2018-01-31 17:00:00,10281.31,10285.59,10101.98,10204.2,4237053.6
2018-01-31 18:00:00,10204.2,10278.33,10156,10243.64,4902722.87
